name,company,location,average_salary
NHAN VIEN KINH DOANH BAN HANG TRUC TIEP - CHI NHANH TAI HA NOI,Cong Ty TNHH Yakult Viet Nam,Ha Noi,10.824688
Nhan Vien Marketing Online,Cong Ty TNHH Di Dai Hung,TP HCM,14.0
Nhan Vien Bao Tri,Cong Ty TNHH Becamex Tokyu,Binh Duong,8.0
"[Quan 4 - HCM] CHUYEN VIEN TU VAN QUA DIEN THOAI (Khong Ap Doanh So, Co San Khach Hang)",CONG TY TNHH MANULIFE (VIET NAM),TP HCM,15.0
[VietinBank Quoc Oai] - Tu Van Vien Bao Hiem Kenh Lien Ket Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
Sales Executive (Chemicals/ Logistics Equipment),CareerLink's Client,Ha Noi,19.9
[VietinBank Chuong My] - Tu Van Vien Tai Chinh Kenh Lien Ket Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
[VietinBank Dong Da] - Tu Van Vien Bao Hiem Kenh Bancassurance,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
Nhan vien nghiep vu Bat dong san luong den 25 trieu- Biet tieng Anh,CONG TY TNHH JASWILL,TP HCM,25.0
[VietinBank Hoang Mai] - Tu Van Vien Tai Chinh Kenh Hop Tac Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
[VietinBank Cau Giay] - Tu Van Vien Tai Chinh Kenh Lien Ket Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
Ke Toan Tong Hop Tai Quan Thu Duc (Quan Ly),CONG TY CP TAP DOAN DAU TU MIEN NAM,TP HCM,21.0
[VietinBank Thach That] - Tu Van Vien Tai Chinh Kenh Hop Tac Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
NHAN VIEN CONTENT MARKETING,Cong Ty TNHH Co Hoi Va Thach Thuc,TP HCM,11.0
[VietinBank Tay Ho] - Tu Van Vien Bao Hiem Kenh Hop Tac Ngan Hang,CONG TY TNHH MANULIFE (VIET NAM),Ha Noi,22.5
